Comment,Designator,Part,Quantity
100k,"R10,R17,R18,R24,R27,R31,R34,R35,R36,R7,R9",UNI-ROYAL 0805W8F1003T5E,11
100n,"C14,C26,C28,C29,C3,C31,C32,C4,C5",YAGEO CC0805KRX7R9BB104,9
10k,R29,UNI-ROYAL 0805W8F1002T5E,1
10u,"C1,C19,C30,C34",Samsung Electro-Mechanics CL21A106KAYNNNE,4
12p,"C18,C23",Samsung Electro-Mechanics CL10C120JB8NNNC,2
15k,R30,UNI-ROYAL 0805W8F1502T5E,1
1M,"R32,R37",UNI-ROYAL 0805W8F1004T5E,2
1k,"R11,R12,R20,R4",UNI-ROYAL 0805W8F1001T5E,4
1n,C27,Samsung Electro-Mechanics CL21B102KBCNNNC,1
1u,"C12,C13,C24",Samsung Electro-Mechanics CL21B105KBFNNNE,3
2.2n,"C17,C22",Samsung Electro-Mechanics CL21C222JBFNNNE,2
2.2u,C25,Samsung Electro-Mechanics CL21A225KBQNNNE,1
220,"R25,R26",UNI-ROYAL 0805W8F2200T5E,2
2M,"R5,R6",UNI-ROYAL 0603WAF2004T5E,2
2mm JST male B2B-PH-K-S,J7,XUNPU WAFER-PH2.0-2PWB,1
4.7u,C2,Samsung Electro-Mechanics CL21A475KAQNNNE,1
47k,"R14,R15",UNI-ROYAL 0805W8F4702T5E,2
47n,"C15,C16,C20,C21",Samsung Electro-Mechanics CL21B473KBCNNNC,4
5.1k,"R1,R13,R16,R19,R2,R21,R22,R23,R3,R8",UNI-ROYAL 0805W8F5101T5E,10
AP2112K-3.3,U4,DIODES AP2112K-3.3TRG1,1
AVR128DA48x-xPT,U1,MICROCHIP AVR128DA48T-I/PT,1
Conn_01x04_Socket_SSD1306_OLED_I2C,J4,XUNPU WAFER-PH2.0-4PWB,1
D_Schottky MBR0520L-TP or MDD SS34,D3,MDD(Microdiode Semiconductor) SS34,1
GZ1608D601TF,FB1,Sunlord GZ1608D601TF,1
LED_LION_STATUS_RED_2.6V,D2,NATIONSTAR NCD0805R1,1
LED_MCU_GREEN_2.6,D4,Hubei KENTO Elec KT-0805G,1
MCP73832T-2ACI/OT,U5,MICROCHIP MCP73832T-2ACI/OT,1
P6SMB6.8CA/TR13,D5,Brightking P6SMB6.8CA/TR13,1
SI2301CDS-T1-GE3,Q1,VISHAY SI2301CDS-T1-GE3,1
SI2301CDS-T1-GE3,Q3,VISHAY SI2301CDS-T1-GE3,1
SS8050 200-350,Q2,JSCJ SS8050(RANGE:200-350),1
TPA711DGN,U8,TI TPA711DGNR,1
W25Q64JVSSIQ,U6,MXIC MX25L6433FM2I-08G,1
USB_C_Receptacle_PowerOnly_6P_UJC-H-G-SMT-2-P6-TR,J1,2223-UJC-H-G-SMT-P6-TRCT-ND,1
0-10k PTV09A-4020F-A103,R28,118-PTV09A-4030F-A103-ND,1
100u UUD1C101MCL1GS,C6,493-2262-1-ND,1
Conn_01x04_Socket,J3,B4B-PH-K-S,1
0ZCG0050AF2C 30v 500mA PTC resettable fuse,F2,5923-0ZCG0050FF2CCT-ND,1
AudioJack3_SwitchT SJ3-35063B,J6,2223-SJ3-35063B-ND,1
Speaker CMS-30204-18L250,LS2,2223-CMS-30204-18L250-ND,1
Conn_01x03_Socket,J2,B3B-PH-K-S,1
Conn_01x04_Socket,J8,B4B-PH-K-S,1
AudioJack3_SwitchT SJ3-35063B,J5,2223-SJ3-35063B-ND,1
Crystal ECS-.327-9-34B-TR 32.768kHz,Y2,50-ECS-.327-9-34B-TRCT-ND,1
SW_SPDT_POWER SLW-1298856-5A-RA-N-D,SW5,2223-SLW-1298856-5A-RA-N-D-ND,1
EN12-HS22AF20 ROT-ENC/SW,SW4,987-1196-ND,1
Conn_01x03_Socket,J10,B3B-PH-K-S,1
2mm JST male B2B-PH-K-S,J9,455-1704-ND,1
0,R33,"Do not place this component, but it is a 0 ohm resistor",1
E01-2G4M01S1B,U2,EBYTE E01-2G4M01S1B,1
2.42 inch OLED,,"amazon equivalent: HiLetgo 2.42"" SSD1309 128x64 OLED Display Module 2.42 Inch OLED LCD Display Module IIC I2C 4 Pin",
820mAh 3.7V Lipo,,amazon equivalent: EEMB Lithium Polymer Battery 3.7V 820mAh 653042 Lipo Rechargeable Battery Pack with Wire JST Connector for Speaker and Wireless Device,